1LHAASOJ0634+1741u   0.25 195.2465740721963 4.309197892841899
1LHAASOJ1740+0948u   1.23 33.790850087727634 20.25554428057809
1LHAASOJ1839-0548u   1.3 26.36379393833407 0.07173778196236118
1LHAASOJ2031+4127u   1.33 80.17997213768042 1.093028762258083
1LHAASOJ0007+7303u   1.4 119.70738277517613 10.473040276059635
1LHAASOJ1825-1256u   1.55 18.51439631396535 -0.29387113245834884
1LHAASOJ0542+2311u   1.56 184.5669462890499 -3.5302016417085245
1LHAASOJ2020+3649u   1.8 75.17680997685748 0.12122905984091295
1LHAASOJ1959+2846u   1.95 65.94405560087394 -0.42959582458475054
1LHAASOJ1954+2836u   1.96 65.22925937076472 0.3984674239039276
1LHAASOJ0534+2200u   2.0 184.5547512000012 -5.79701078713077
1LHAASOJ1908+0615u   2.37 40.41195715389555 -0.8552212328937248
1LHAASOJ2228+6100u   3.0 106.41640180944549 2.8130312427823294
1LHAASOJ0216+4237u   3.15 139.16566064393592 -17.547705872961586
1LHAASOJ1809-1918u   3.27 11.066389895082688 0.11846590184285913
1LHAASOJ1857+0203u   3.6 35.458594273197804 -0.41309252133226687
1LHAASOJ1825-1337u   3.61 17.9086497148844 -0.6244620566391101
1LHAASOJ1831-1007u   3.7 21.60784563787052 -0.119905344776242
1LHAASOJ1852+0050u   3.84 33.78918624276552 0.16897475687498498
1LHAASOJ1928+1746u   4.34 52.918129990071186 0.1471975490168948
1LHAASOJ1912+1014u   4.61 44.48566174752496 -0.038872318581980495
1LHAASOJ1848-0153u   5.5 30.885371785791232 -0.15053766512666206
1LHAASOJ1928+1813u   6.0 53.28161994274252 0.42071237604583045
1LHAASOJ2002+3244u   6.46 69.69807661259462 1.0318310129129808
1LHAASOJ1837-0654u   6.6 25.212896547484732 -0.07513176284624838
1LHAASOJ1848-0001u   7.0 32.608842725263806 0.5867043211908741
1LHAASOJ1929+1846u   7.0 53.878330575894175 0.45413074062185166
1LHAASOJ1959+1129u   9.4 51.101727695103236 -9.415180267851353
1LHAASOJ1843-0335u   9.6 28.83958706178027 0.09079251536451123
1LHAASOJ1914+1150u   14.01 46.12631796935663 0.25591296666948227
